ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
2b8e0c3f-ab46-4e53-be8e-3a81fbfd8009,"SALES module cycle",,BAMM-33,"Verify if by default in the submenu Orders you can see the Order List table in order to verify the headers of table",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:40 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,d2c63796-fe03-4122-87a4-850311f402a2,1,"From SALES menu page select the 'Orders' tab sub-menu.",,"'Orders' page details are loaded successfully.",PASS,,
2b8e0c3f-ab46-4e53-be8e-3a81fbfd8009,"SALES module cycle",,BAMM-33,"Verify if by default in the submenu Orders you can see the Order List table in order to verify the headers of table",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:40 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,4e7a3a53-8250-4f01-91d6-9130a9adba51,2,"Check visually if the table 'Order List' is fully loaded.",,"The table has 9 columns: Checkbox, Order ID, Store, Costumer, Status, Total, Date Added, Date Modified, Action.",PASS,,
2b8e0c3f-ab46-4e53-be8e-3a81fbfd8009,"SALES module cycle",,BAMM-33,"Verify if by default in the submenu Orders you can see the Order List table in order to verify the headers of table",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:40 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,d7f24154-7b6f-4cda-b7a0-ad024c1e930c,3,"Place the cursor over the heads of the table in order to appear the hand",,"The head of the table is clickable with the hand that appears above",PASS,,
5096d552-f460-4847-b00a-4dd55b9875de,"SALES module cycle",,BAMM-34,"Verify if checkbox for selecting one or more orders is working properly",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:44 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,81e3a0a5-5295-42c9-bcfe-ec8bfe0ecd2a,1,"From SALES menu page select the 'Orders' tab sub-menu.",,"'Orders' page details are loaded successfully.",PASS,,
5096d552-f460-4847-b00a-4dd55b9875de,"SALES module cycle",,BAMM-34,"Verify if checkbox for selecting one or more orders is working properly",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:44 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,640a52b7-a8f7-4ed7-80d6-deedee7c09e9,2,"Locate checkbox in Order List table and click the box on the head of table to select all orders",,"All the checkboxes turn into blue and the white arrow appears for all the orders in the Order List table",PASS,,
5096d552-f460-4847-b00a-4dd55b9875de,"SALES module cycle",,BAMM-34,"Verify if checkbox for selecting one or more orders is working properly",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:44 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,5ff5d71d-5781-494d-b85e-062361122bd5,3,"Click again on checkbox on the head of the table in order to deselect orders",,"The checkbox for each order is empty again",PASS,,
5096d552-f460-4847-b00a-4dd55b9875de,"SALES module cycle",,BAMM-34,"Verify if checkbox for selecting one or more orders is working properly",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 01:44 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,4f97c298-f134-4f7e-b97a-52d82e0259af,4,"Click on one checkbox to select one order",,"The checkbox turns into blue and the white arrow appears for selected order",PASS,,
fcd7bb80-ced7-478a-bf22-a15207991a90,"SALES module cycle",,BAMM-35,"Verify if by clicking the header buttons from Order List table, the table data is sort Ascending/Descending",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:17 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,529d31f0-4293-41d5-b2da-edb079789646,1,"From SALES menu page select the 'Orders' tab sub-menu.",,"'Orders' page details are loaded successfully.",PASS,,
fcd7bb80-ced7-478a-bf22-a15207991a90,"SALES module cycle",,BAMM-35,"Verify if by clicking the header buttons from Order List table, the table data is sort Ascending/Descending",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:17 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,b2d8116a-9d6b-4ca2-b502-4ef398654055,2,"Check visually if by default the table is sort Ascending (from the largest number of order to the smallest number).",,"The orders in the table are arranged Asceding, from the newest to the oldest in the table.",PASS,,
fcd7bb80-ced7-478a-bf22-a15207991a90,"SALES module cycle",,BAMM-35,"Verify if by clicking the header buttons from Order List table, the table data is sort Ascending/Descending",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:17 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,2a6d5087-493e-4615-9e72-85e76ca0645e,3,"Click on the 'Order ID' head of the table.",,"The orders will be arranged in Descending order, from the oldest to the newest in the table (including the other columns).",PASS,,
fcd7bb80-ced7-478a-bf22-a15207991a90,"SALES module cycle",,BAMM-35,"Verify if by clicking the header buttons from Order List table, the table data is sort Ascending/Descending",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:17 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,3183dcc3-fba0-4c49-9d7b-2c3b42a40654,4,"Click again on the 'Order ID' head of the table, in order to arrange the orders Ascending (from the newest order to the oldest order).",,"The orders are sort Ascending (from the newest order to the oldest order).",PASS,,
fcd7bb80-ced7-478a-bf22-a15207991a90,"SALES module cycle",,BAMM-35,"Verify if by clicking the header buttons from Order List table, the table data is sort Ascending/Descending",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:17 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,d734820b-9681-46b6-a1e6-a7716d5921ba,5,"Click on 'Date Added' and check visually if the orders are arranged Descending (from the oldest to the newest).",,"All orders are arranged Descending (from the oldest to the newest), including the other columns.",PASS,,
34e89c1e-0abe-4626-8646-f4f920e5c1da,"SALES module cycle",,BAMM-36,"Verify that we can navigate through the Order List pages",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:20 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,997a9bd5-8d19-43c3-93cb-ff05853961c9,1,"From SALES menu page select the 'Orders' tab sub-menu.",,"'Orders' page details are loaded successfully.",PASS,,
34e89c1e-0abe-4626-8646-f4f920e5c1da,"SALES module cycle",,BAMM-36,"Verify that we can navigate through the Order List pages",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:20 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,e21fc385-cf04-4028-ba3e-8d4370c35de5,2,"Check if by default the orders are loaded at the first page, sorted Ascending (from the newest to the oldest one).",,"The orders are loaded at page 1, Ascending.",PASS,,
34e89c1e-0abe-4626-8646-f4f920e5c1da,"SALES module cycle",,BAMM-36,"Verify that we can navigate through the Order List pages",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:20 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,41c81282-f831-4a78-984c-844dd65c90be,3,"Click on page number 2.",,"The page number has changed and the orders correspond to page number 2.",PASS,,
34e89c1e-0abe-4626-8646-f4f920e5c1da,"SALES module cycle",,BAMM-36,"Verify that we can navigate through the Order List pages",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:20 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,08ace5ac-e38a-4256-b911-fa127a2567c3,4,"Click on '>' sign item and check if the next page is loaded successfully.",,"The next page appears and the commands correspond to the following.",PASS,,
34e89c1e-0abe-4626-8646-f4f920e5c1da,"SALES module cycle",,BAMM-36,"Verify that we can navigate through the Order List pages",Bianca_Andreea_Maria_Man_TMTA9,,"Release 1.0",Medium,"IT Factory","08/Feb/24 06:20 PM",PASS,,"08/Feb/24 01:34 PM",,,,,,cf1e6197-3874-4e92-bc3b-e1db3ed68fc0,5,"Click on '<' sign item and check if the previous page is loaded successfully.",,"The previous page appears and the orders correspond to the following.",PASS,,
